U,C_D
3.0634748324,1.1046133853
3.0194667361,1.1046133853
2.9326751857,1.7543859649
2.8875100788,1.1046133853
2.8451206346,1.2345679012
2.8031116636,1.8843404808
2.7591739175,1.4944769331
2.7179253137,1.2345679012
2.6770364274,1.4944769331
2.6365008228,2.0142949968
2.5940895818,1.4944769331
2.5542606546,1.3645224172
2.5147663495,2.0142949968
2.4346100257,2.4041585445
2.396102876,2.0142949968
2.3579077214,2.7940220923
2.3200193255,2.7940220923
2.2803531705,2.6640675763
2.2430794248,3.0539311241
2.2060972084,3.9636127355
2.1694017761,3.8336582196
2.1309737159,3.9636127355
2.094853353,4.6133853151
2.0234272041,5.3931124107
1.9861586559,5.6530214425
1.9511190059,6.5627030539
1.9163354287,6.9525666017
1.8818039947,7.3424301494
1.8456234474,7.8622482131
1.8115983347,9.0318388564
1.7778138885,9.4217024042
1.7424096562,9.681611436
1.7091087243,10.5912930474
1.6760377303,11.8908382066
1.6087663868,12.0207927225
1.5763774661,13.9701104613
1.5442052924,15.0097465887
1.5122467836,15.2696556205
1.4787412678,16.179337232
1.4472125485,17.6088369071
1.4158884643,18.5185185185
1.3847661813,19.1682910981
1.3521307446,20.2079272255
1.3214146165,22.2871994802
1.2605602183,22.8070175439
1.2287476127,25.2761533463
1.1988002307,27.2254710851
1.1690360614,27.7452891488
1.1394526939,29.1747888239
1.1084193416,31.1241065627
1.0792002464,32.8135152697
1.0501548685,33.853151397
1.0212809778,35.412605588
0.9909866071,37.7517868746
0.9624583907,39.1812865497
0.9058946745,40.7407407407
0.8763019994,45.2891487979
0.8484300111,46.4587394412
0.8207147998,48.2781026641
0.7916278186,50.2274204029
0.7642288836,52.8265107212
0.73698097,54.1260558804
0.7098822618,55.8154645874
0.6814379683,58.1546458739
0.6546403916,60.2339181287
0.601475101,61.6634178038
0.5736430619,65.6920077973
0.5474185282,67.2514619883
0.5213311662,69.0708252112
0.4953793991,70.2404158545
0.4681312586,72.8395061728
0.4424533753,73.6192332684
0.4169064317,74.9187784276
0.3914889554,76.8680961663
0.3647982533,78.4275503574
0.3396423829,79.2072774529
0.2897046154,80.1169590643
0.2635466245,83.6257309942
0.2388897346,84.2755035737
0.2143525132,84.7953216374
0.1899336709,87.0045484081
0.1642852509,87.9142300195
0.1401057801,87.7842755036
0.1160408732,88.8239116309
0.0920893211,90.383365822
0.0669287881,90.6432748538
0.019594037,91.0331384016
-0.0052124177,93.1124106563
-0.0286028032,93.2423651722
-0.0518868285,93.6322287199
-0.0750655771,94.6718648473
-0.0994190007,95.0617283951
-0.1223846809,94.9317738791
-0.1452482954,95.0617283951
-0.1692725082,96.2313190383
-0.1919295057,96.6211825861
-0.2144875054,96.751137102
-0.2593103946,96.751137102
-0.2828114354,97.2709551657
-0.3049777862,97.5308641975
-0.3270499227,97.7907732294
-0.3490287503,98.310591293
-0.3721283813,98.0506822612
-0.3939181964,98.310591293
-0.4156173906,98.5705003249
-0.4372268186,99.0903183886
-0.4599403161,98.7004548408
-0.5027081731,98.8304093567
-0.5239620679,99.2202729045
-0.5463038597,98.8304093567
-0.5673826032,99.2202729045
-0.5883773269,99.8700454841
-0.6092887947,99.3502274204
-0.6312725211,98.8304093567
-0.6520152076,99.8700454841
-0.6726769095,100
-0.6943994247,99.7400909682
-0.7148969194,99.4801819363
-0.7556561904,100
-0.7770428211,99.2202729045
-0.7972249856,99.7400909682
-0.8173311069,100.2599090318
-0.8373618438,100.2599090318
-0.8584243348,99.7400909682
-0.8783021474,99.8700454841
-0.8981065361,100.6497725796
-0.9178381261,100
-0.93858762,99.8700454841
-0.9581714982,100.1299545159
-0.9971270378,100.3898635478
-1.0175741148,100
-1.0368739528,100.5198180637
-1.0561052171,100.5198180637
-1.0752684723,99.6101364522
-1.0954231873,100.3898635478
-1.1144483899,100.5198180637
-1.1334072661,100.1299545159
-1.1523003532,100
-1.1721722696,100.2599090318
-1.2096271098,100.5198180637
-1.2292919953,99.8700454841
